,Unnamed: 0,No.,Player,Pos,DoB,Val,Team,CleanVal
21,21,37,Kayky,Right Winger,"Jun 11, 2003 (18)",€14.00m,Man City,14000000.0
22,22,9,Gabriel Jesus,Centre-Forward,"Apr 3, 1997 (24)",€60.00m,Man City,60000000.0
23,23,16,Edouard Mendy,Goalkeeper,"Mar 1, 1992 (29)",€30.00m,Chelsea,30000000.0
24,24,1,Kepa Arrizabalaga,Goalkeeper,"Oct 3, 1994 (27)",€13.00m,Chelsea,13000000.0
25,25,13,Marcus Bettinelli,Goalkeeper,"May 24, 1992 (29)",€2.50m,Chelsea,2500000.0
26,26,2,Antonio Rüdiger,Centre-Back,"Mar 3, 1993 (28)",€35.00m,Chelsea,35000000.0
27,27,4,Andreas Christensen,Centre-Back,"Apr 10, 1996 (25)",€35.00m,Chelsea,35000000.0
28,28,14,Trevoh Chalobah,Centre-Back,"Jul 5, 1999 (22)",€10.00m,Chelsea,10000000.0
29,29,31,Malang Sarr,Centre-Back,"Jan 23, 1999 (22)",€7.50m,Chelsea,7500000.0
30,30,6,Thiago Silva,Centre-Back,"Sep 22, 1984 (37)",€3.00m,Chelsea,3000000.0
31,31,21,Ben Chilwell,Left-Back,"Dec 21, 1996 (24)",€38.00m,Chelsea,38000000.0
32,32,3,Marcos Alonso,Left-Back,"Dec 28, 1990 (30)",€15.00m,Chelsea,15000000.0
33,33,24,Reece James,Right-Back,"Dec 8, 1999 (21)",€45.00m,Chelsea,45000000.0
34,34,28,César Azpilicueta,Right-Back,"Aug 28, 1989 (32)",€13.00m,Chelsea,13000000.0
35,35,7,N'Golo Kanté,Defensive Midfield,"Mar 29, 1991 (30)",€55.00m,Chelsea,55000000.0
36,36,5,Jorginho,Defensive Midfield,"Dec 20, 1991 (29)",€45.00m,Chelsea,45000000.0
37,37,8,Mateo Kovacic,Central Midfield,"May 6, 1994 (27)",€45.00m,Chelsea,45000000.0
38,38,17,Saúl Ñíguez,Central Midfield,"Nov 21, 1994 (26)",€40.00m,Chelsea,40000000.0
39,39,12,Ruben Loftus-Cheek,Central Midfield,"Jan 23, 1996 (25)",€18.00m,Chelsea,18000000.0
40,40,18,Ross Barkley,Central Midfield,"Dec 5, 1993 (27)",€17.00m,Chelsea,17000000.0
41,41,32,Lewis Baker,Central Midfield,"Apr 25, 1995 (26)",€3.50m,Chelsea,3500000.0
42,42,19,Mason Mount,Attacking Midfield,"Jan 10, 1999 (22)",€75.00m,Chelsea,75000000.0
43,43,29,Kai Havertz,Attacking Midfield,"Jun 11, 1999 (22)",€70.00m,Chelsea,70000000.0
44,44,22,Hakim Ziyech,Attacking Midfield,"Mar 19, 1993 (28)",€38.00m,Chelsea,38000000.0
45,45,-,Charly Musonda Jr.,Attacking Midfield,"Oct 15, 1996 (25)",€1.00m,Chelsea,1000000.0
46,46,10,Christian Pulisic,Right Winger,"Sep 18, 1998 (23)",€50.00m,Chelsea,50000000.0
47,47,20,Callum Hudson-Odoi,Right Winger,"Nov 7, 2000 (20)",€32.00m,Chelsea,32000000.0
48,48,9,Romelu Lukaku,Centre-Forward,"May 13, 1993 (28)",€100.00m,Chelsea,100000000.0
49,49,11,Timo Werner,Centre-Forward,"Mar 6, 1996 (25)",€55.00m,Chelsea,55000000.0
50,50,31,Ederson,Goalkeeper,"Aug 17, 1993 (28)",€50.00m,Man City,50000000.0
51,51,13,Zack Steffen,Goalkeeper,"Apr 2, 1995 (26)",€6.00m,Man City,6000000.0
52,52,33,Scott Carson,Goalkeeper,"Sep 3, 1985 (36)",€300Th.,Man City,300000.0
53,53,3,Rúben Dias,Centre-Back,"May 14, 1997 (24)",€75.00m,Man City,75000000.0
54,54,14,Aymeric Laporte,Centre-Back,"May 27, 1994 (27)",€45.00m,Man City,45000000.0
55,55,6,Nathan Aké,Centre-Back,"Feb 18, 1995 (26)",€32.00m,Man City,32000000.0
56,56,5,John Stones,Centre-Back,"May 28, 1994 (27)",€30.00m,Man City,30000000.0
57,57,11,Oleksandr Zinchenko,Left-Back,"Dec 15, 1996 (24)",€28.00m,Man City,28000000.0
58,58,22,Benjamin Mendy,Left-Back,"Jul 17, 1994 (27)",€10.00m,Man City,10000000.0
59,59,27,João Cancelo,Right-Back,"May 27, 1994 (27)",€55.00m,Man City,55000000.0
60,60,2,Kyle Walker,Right-Back,"May 28, 1990 (31)",€28.00m,Man City,28000000.0
61,61,16,Rodri,Defensive Midfield,"Jun 22, 1996 (25)",€70.00m,Man City,70000000.0
62,62,25,Fernandinho,Defensive Midfield,"May 4, 1985 (36)",€2.00m,Man City,2000000.0
63,63,47,Phil Foden,Central Midfield,"May 28, 2000 (21)",€80.00m,Man City,80000000.0
64,64,8,Ilkay Gündogan,Central Midfield,"Oct 24, 1990 (31)",€40.00m,Man City,40000000.0
65,65,17,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991 (30)",€100.00m,Man City,100000000.0
66,66,20,Bernardo Silva,Attacking Midfield,"Aug 10, 1994 (27)",€70.00m,Man City,70000000.0
67,67,10,Jack Grealish,Left Winger,"Sep 10, 1995 (26)",€100.00m,Man City,100000000.0
68,68,7,Raheem Sterling,Left Winger,"Dec 8, 1994 (26)",€90.00m,Man City,90000000.0
69,69,21,Ferran Torres,Right Winger,"Feb 29, 2000 (21)",€50.00m,Man City,50000000.0
70,70,26,Riyad Mahrez,Right Winger,"Feb 21, 1991 (30)",€42.00m,Man City,42000000.0
71,71,37,Kayky,Right Winger,"Jun 11, 2003 (18)",€14.00m,Man City,14000000.0
72,72,9,Gabriel Jesus,Centre-Forward,"Apr 3, 1997 (24)",€60.00m,Man City,60000000.0
73,73,28,Angus Gunn,Goalkeeper,"Jan 22, 1996 (25)",€3.00m,Norwich,3000000.0
74,74,1,Tim Krul,Goalkeeper,"Apr 3, 1988 (33)",€2.50m,Norwich,2500000.0
75,75,33,Michael McGovern,Goalkeeper,"Jul 12, 1984 (37)",€250Th.,Norwich,250000.0
76,76,15,Ozan Kabak,Centre-Back,"Mar 25, 2000 (21)",€17.00m,Norwich,17000000.0
77,77,4,Ben Gibson,Centre-Back,"Jan 15, 1993 (28)",€7.00m,Norwich,7000000.0
78,78,5,Grant Hanley,Centre-Back,"Nov 20, 1991 (29)",€4.00m,Norwich,4000000.0
79,79,6,Christoph Zimmermann,Centre-Back,"Jan 12, 1993 (28)",€1.80m,Norwich,1800000.0
80,80,44,Andrew Omobamidele,Centre-Back,"Jun 23, 2002 (19)",€1.20m,Norwich,1200000.0
81,81,-,Rocky Bushiri,Centre-Back,"Nov 30, 1999 (21)",€600Th.,Norwich,600000.0
82,82,21,Brandon Williams,Left-Back,"Sep 3, 2000 (21)",€10.00m,Norwich,10000000.0
83,83,30,Dimitrios Giannoulis,Left-Back,"Oct 17, 1995 (26)",€7.00m,Norwich,7000000.0
84,84,2,Max Aarons,Right-Back,"Jan 4, 2000 (21)",€22.00m,Norwich,22000000.0
85,85,3,Sam Byram,Right-Back,"Sep 16, 1993 (28)",€2.00m,Norwich,2000000.0
86,86,26,Bali Mumba,Right-Back,"Oct 8, 2001 (20)",€500Th.,Norwich,500000.0
87,87,16,Mathias Normann,Defensive Midfield,"May 28, 1996 (25)",€13.00m,Norwich,13000000.0
88,88,19,Jacob Lungi Sörensen,Defensive Midfield,"Mar 3, 1998 (23)",€1.80m,Norwich,1800000.0
89,89,8,Billy Gilmour,Central Midfield,"Jun 11, 2001 (20)",€15.00m,Norwich,15000000.0
90,90,20,Pierre Lees-Melou,Central Midfield,"May 25, 1993 (28)",€7.00m,Norwich,7000000.0
91,91,23,Kenny McLean,Central Midfield,"Jan 8, 1992 (29)",€3.00m,Norwich,3000000.0
92,92,7,Lukas Rupp,Central Midfield,"Jan 8, 1991 (30)",€1.80m,Norwich,1800000.0
93,93,14,Todd Cantwell,Left Midfield,"Feb 27, 1998 (23)",€22.00m,Norwich,22000000.0
94,94,10,Kieran Dowell,Attacking Midfield,"Oct 10, 1997 (24)",€3.00m,Norwich,3000000.0
95,95,18,Christos Tzolis,Left Winger,"Jan 30, 2002 (19)",€12.00m,Norwich,12000000.0
96,96,11,Przemyslaw Placheta,Left Winger,"Mar 23, 1998 (23)",€2.00m,Norwich,2000000.0
97,97,17,Milot Rashica,Right Winger,"Jun 28, 1996 (25)",€9.00m,Norwich,9000000.0
98,98,24,Josh Sargent,Centre-Forward,"Feb 20, 2000 (21)",€8.00m,Norwich,8000000.0
99,99,22,Teemu Pukki,Centre-Forward,"Mar 29, 1990 (31)",€7.00m,Norwich,7000000.0
100,100,35,Adam Idah,Centre-Forward,"Feb 11, 2001 (20)",€3.00m,Norwich,3000000.0
101,101,1,Nick Pope,Goalkeeper,"Apr 19, 1992 (29)",€15.00m,Burnley,15000000.0
102,102,13,Wayne Hennessey,Goalkeeper,"Jan 24, 1987 (34)",€1.00m,Burnley,1000000.0
103,103,25,Will Norris,Goalkeeper,"Aug 12, 1993 (28)",€400Th.,Burnley,400000.0
104,104,5,James Tarkowski,Centre-Back,"Nov 19, 1992 (28)",€25.00m,Burnley,25000000.0
105,105,22,Nathan Collins,Centre-Back,"Apr 30, 2001 (20)",€8.00m,Burnley,8000000.0
106,106,6,Ben Mee,Centre-Back,"Sep 21, 1989 (32)",€6.00m,Burnley,6000000.0
107,107,28,Kevin Long,Centre-Back,"Aug 18, 1990 (31)",€1.00m,Burnley,1000000.0
108,108,3,Charlie Taylor,Left-Back,"Sep 18, 1993 (28)",€4.00m,Burnley,4000000.0
109,109,23,Erik Pieters,Left-Back,"Aug 7, 1988 (33)",€1.50m,Burnley,1500000.0
110,110,14,Connor Roberts,Right-Back,"Sep 23, 1995 (26)",€4.50m,Burnley,4500000.0
111,111,2,Matthew Lowton,Right-Back,"Jun 9, 1989 (32)",€2.50m,Burnley,2500000.0
112,112,26,Phil Bardsley,Right-Back,"Jun 28, 1985 (36)",€300Th.,Burnley,300000.0
113,113,4,Jack Cork,Defensive Midfield,"Jun 25, 1989 (32)",€5.00m,Burnley,5000000.0
114,114,18,Ashley Westwood,Defensive Midfield,"Apr 1, 1990 (31)",€5.00m,Burnley,5000000.0
115,115,8,Josh Brownhill,Central Midfield,"Dec 19, 1995 (25)",€7.00m,Burnley,7000000.0
116,116,16,Dale Stephens,Central Midfield,"Jun 12, 1989 (32)",€2.50m,Burnley,2500000.0
117,117,11,Dwight McNeil,Left Winger,"Nov 22, 1999 (21)",€22.00m,Burnley,22000000.0
118,118,20,Maxwel Cornet,Left Winger,"Sep 27, 1996 (25)",€12.00m,Burnley,12000000.0
119,119,7,Jóhann Berg Gudmundsson,Right Winger,"Oct 27, 1990 (31)",€3.00m,Burnley,3000000.0
120,120,17,Aaron Lennon,Right Winger,"Apr 16, 1987 (34)",€1.10m,Burnley,1100000.0
121,121,9,Chris Wood,Centre-Forward,"Dec 7, 1991 (29)",€8.00m,Burnley,8000000.0
122,122,19,Jay Rodríguez,Centre-Forward,"Jul 29, 1989 (32)",€4.00m,Burnley,4000000.0
123,123,10,Ashley Barnes,Centre-Forward,"Oct 30, 1989 (32)",€3.50m,Burnley,3500000.0
124,124,27,Matej Vydra,Centre-Forward,"May 1, 1992 (29)",€3.00m,Burnley,3000000.0
125,125,22,Pierluigi Gollini,Goalkeeper,"Mar 18, 1995 (26)",€15.00m,Spurs,15000000.0
126,126,1,Hugo Lloris,Goalkeeper,"Dec 26, 1986 (34)",€9.00m,Spurs,9000000.0
127,127,4,Cristian Romero,Centre-Back,"Apr 27, 1998 (23)",€35.00m,Spurs,35000000.0
128,128,6,Davinson Sánchez,Centre-Back,"Jun 12, 1996 (25)",€32.00m,Spurs,32000000.0
129,129,15,Eric Dier,Centre-Back,"Jan 15, 1994 (27)",€22.00m,Spurs,22000000.0
130,130,25,Japhet Tanganga,Centre-Back,"Mar 31, 1999 (22)",€15.00m,Spurs,15000000.0
131,131,14,Joe Rodon,Centre-Back,"Oct 22, 1997 (24)",€10.00m,Spurs,10000000.0
132,132,3,Sergio Reguilón,Left-Back,"Dec 16, 1996 (24)",€25.00m,Spurs,25000000.0
133,133,33,Ben Davies,Left-Back,"Apr 24, 1993 (28)",€16.00m,Spurs,16000000.0
134,134,12,Emerson Royal,Right-Back,"Jan 14, 1999 (22)",€25.00m,Spurs,25000000.0
135,135,2,Matt Doherty,Right-Back,"Jan 16, 1992 (29)",€16.00m,Spurs,16000000.0
136,136,8,Harry Winks,Defensive Midfield,"Feb 2, 1996 (25)",€20.00m,Spurs,20000000.0
137,137,29,Oliver Skipp,Defensive Midfield,"Sep 16, 2000 (21)",€15.00m,Spurs,15000000.0
138,138,28,Tanguy Ndombélé,Central Midfield,"Dec 28, 1996 (24)",€45.00m,Spurs,45000000.0
139,139,5,Pierre-Emile Höjbjerg,Central Midfield,"Aug 5, 1995 (26)",€40.00m,Spurs,40000000.0
140,140,18,Giovani Lo Celso,Central Midfield,"Apr 9, 1996 (25)",€22.00m,Spurs,22000000.0
141,141,19,Ryan Sessegnon,Left Midfield,"May 18, 2000 (21)",€18.00m,Spurs,18000000.0
142,142,20,Dele Alli,Attacking Midfield,"Apr 11, 1996 (25)",€30.00m,Spurs,30000000.0
143,143,7,Heung-min Son,Left Winger,"Jul 8, 1992 (29)",€85.00m,Spurs,85000000.0
144,144,11,Bryan Gil,Left Winger,"Feb 11, 2001 (20)",€30.00m,Spurs,30000000.0
145,145,23,Steven Bergwijn,Left Winger,"Oct 8, 1997 (24)",€22.00m,Spurs,22000000.0
146,146,27,Lucas Moura,Right Winger,"Aug 13, 1992 (29)",€25.00m,Spurs,25000000.0
147,147,47,Jack Clarke,Right Winger,"Nov 23, 2000 (20)",€5.00m,Spurs,5000000.0
148,148,10,Harry Kane,Centre-Forward,"Jul 28, 1993 (28)",€120.00m,Spurs,120000000.0
149,149,1,Robert Sánchez,Goalkeeper,"Nov 18, 1997 (23)",€11.00m,Brighton,11000000.0
150,150,16,Kjell Scherpen,Goalkeeper,"Jan 23, 2000 (21)",€2.80m,Brighton,2800000.0
151,151,23,Jason Steele,Goalkeeper,"Aug 18, 1990 (31)",€800Th.,Brighton,800000.0
152,152,5,Lewis Dunk,Centre-Back,"Nov 21, 1991 (29)",€25.00m,Brighton,25000000.0
153,153,4,Adam Webster,Centre-Back,"Jan 4, 1995 (26)",€18.00m,Brighton,18000000.0
154,154,24,Shane Duffy,Centre-Back,"Jan 1, 1992 (29)",€5.00m,Brighton,5000000.0
155,155,33,Dan Burn,Centre-Back,"May 9, 1992 (29)",€5.00m,Brighton,5000000.0
156,156,28,Haydon Roberts,Centre-Back,"May 10, 2002 (19)",€500Th.,Brighton,500000.0
157,157,2,Tariq Lamptey,Right-Back,"Sep 30, 2000 (21)",€18.00m,Brighton,18000000.0
158,158,34,Joël Veltman,Right-Back,"Jan 15, 1992 (29)",€6.00m,Brighton,6000000.0
159,159,35,Tudor Baluta,Defensive Midfield,"Mar 27, 1999 (22)",€2.00m,Brighton,2000000.0
160,160,8,Yves Bissouma,Central Midfield,"Aug 30, 1996 (25)",€25.00m,Brighton,25000000.0
161,161,12,Enock Mwepu,Central Midfield,"Jan 1, 1998 (23)",€20.00m,Brighton,20000000.0
162,162,15,Jakub Moder,Central Midfield,"Apr 7, 1999 (22)",€10.00m,Brighton,10000000.0
163,163,13,Pascal Groß,Central Midfield,"Jun 15, 1991 (30)",€7.00m,Brighton,7000000.0
164,164,17,Steven Alzate,Central Midfield,"Sep 8, 1998 (23)",€6.00m,Brighton,6000000.0
165,165,3,Marc Cucurella,Left Midfield,"Jul 22, 1998 (23)",€20.00m,Brighton,20000000.0
166,166,20,Solly March,Left Midfield,"Jul 20, 1994 (27)",€9.00m,Brighton,9000000.0
167,167,10,Alexis Mac Allister,Attacking Midfield,"Dec 24, 1998 (22)",€10.00m,Brighton,10000000.0
168,168,14,Adam Lallana,Attacking Midfield,"May 10, 1988 (33)",€4.00m,Brighton,4000000.0
169,169,30,Taylor Richards,Attacking Midfield,"Dec 4, 2000 (20)",€400Th.,Brighton,400000.0
170,170,11,Leandro Trossard,Left Winger,"Dec 4, 1994 (26)",€17.00m,Brighton,17000000.0
171,171,9,Neal Maupay,Centre-Forward,"Aug 14, 1996 (25)",€20.00m,Brighton,20000000.0
172,172,7,Aaron Connolly,Centre-Forward,"Jan 28, 2000 (21)",€7.00m,Brighton,7000000.0
173,173,18,Danny Welbeck,Centre-Forward,"Nov 26, 1990 (30)",€4.00m,Brighton,4000000.0
174,174,27,Jürgen Locadia,Centre-Forward,"Nov 7, 1993 (27)",€3.50m,Brighton,3500000.0
175,175,1,Jack Butland,Goalkeeper,"Mar 10, 1993 (28)",€2.00m,Crystal Palace,2000000.0
176,176,13,Vicente Guaita,Goalkeeper,"Jan 10, 1987 (34)",€2.00m,Crystal Palace,2000000.0
177,177,19,Remi Matthews,Goalkeeper,"Feb 10, 1994 (27)",€300Th.,Crystal Palace,300000.0
178,178,16,Joachim Andersen,Centre-Back,"May 31, 1996 (25)",€22.00m,Crystal Palace,22000000.0
179,179,6,Marc Guehi,Centre-Back,"Jul 13, 2000 (21)",€20.00m,Crystal Palace,20000000.0
180,180,36,Nathan Ferguson,Centre-Back,"Oct 6, 2000 (21)",€4.00m,Crystal Palace,4000000.0
181,181,5,James Tomkins,Centre-Back,"Mar 29, 1989 (32)",€2.50m,Crystal Palace,2500000.0
182,182,33,Jaroslaw Jach,Centre-Back,"Feb 17, 1994 (27)",€650Th.,Crystal Palace,650000.0
183,183,3,Tyrick Mitchell,Left-Back,"Sep 1, 1999 (22)",€12.00m,Crystal Palace,12000000.0
184,184,17,Nathaniel Clyne,Right-Back,"Apr 5, 1991 (30)",€3.00m,Crystal Palace,3000000.0
185,185,2,Joel Ward,Right-Back,"Oct 29, 1989 (32)",€2.50m,Crystal Palace,2500000.0
186,186,34,Martin Kelly,Right-Back,"Apr 27, 1990 (31)",€1.50m,Crystal Palace,1500000.0
187,187,4,Luka Milivojevic,Defensive Midfield,"Apr 7, 1991 (30)",€8.00m,Crystal Palace,8000000.0
188,188,44,Jairo Riedewald,Defensive Midfield,"Sep 9, 1996 (25)",€8.00m,Crystal Palace,8000000.0
189,189,8,Cheikhou Kouyaté,Defensive Midfield,"Dec 21, 1989 (31)",€6.00m,Crystal Palace,6000000.0
190,190,23,Conor Gallagher,Central Midfield,"Feb 6, 2000 (21)",€15.00m,Crystal Palace,15000000.0
191,191,12,Will Hughes,Central Midfield,"Apr 17, 1995 (26)",€7.00m,Crystal Palace,7000000.0
192,192,18,James McArthur,Central Midfield,"Oct 7, 1987 (34)",€2.00m,Crystal Palace,2000000.0
193,193,15,Jeffrey Schlupp,Left Midfield,"Dec 23, 1992 (28)",€9.00m,Crystal Palace,9000000.0
194,194,10,Eberechi Eze,Attacking Midfield,"Jun 29, 1998 (23)",€20.00m,Crystal Palace,20000000.0
195,195,7,Michael Olise,Attacking Midfield,"Dec 12, 2001 (19)",€15.00m,Crystal Palace,15000000.0
196,196,11,Wilfried Zaha,Left Winger,"Nov 10, 1992 (28)",€45.00m,Crystal Palace,45000000.0
197,197,22,Odsonne Edouard,Centre-Forward,"Jan 16, 1998 (23)",€17.00m,Crystal Palace,17000000.0
198,198,20,Christian Benteke,Centre-Forward,"Dec 3, 1990 (30)",€9.00m,Crystal Palace,9000000.0
199,199,9,Jordan Ayew,Centre-Forward,"Sep 11, 1991 (30)",€8.00m,Crystal Palace,8000000.0
200,200,14,Jean-Philippe Mateta,Centre-Forward,"Jun 28, 1997 (24)",€8.00m,Crystal Palace,8000000.0
201,201,1,Emiliano Martínez,Goalkeeper,"Sep 2, 1992 (29)",€35.00m,Aston Villa,35000000.0
202,202,12,Jed Steer,Goalkeeper,"Sep 23, 1992 (29)",€800Th.,Aston Villa,800000.0
203,203,38,Viljami Sinisalo,Goalkeeper,"Oct 11, 2001 (20)",€200Th.,Aston Villa,200000.0
204,204,5,Tyrone Mings,Centre-Back,"Mar 13, 1993 (28)",€30.00m,Aston Villa,30000000.0
205,205,4,Ezri Konsa,Centre-Back,"Oct 23, 1997 (24)",€25.00m,Aston Villa,25000000.0
206,206,16,Axel Tuanzebe,Centre-Back,"Nov 14, 1997 (23)",€8.00m,Aston Villa,8000000.0
207,207,30,Kortney Hause,Centre-Back,"Jul 16, 1995 (26)",€5.00m,Aston Villa,5000000.0
208,208,3,Matt Targett,Left-Back,"Sep 18, 1995 (26)",€17.00m,Aston Villa,17000000.0
209,209,18,Ashley Young,Left-Back,"Jul 9, 1985 (36)",€1.00m,Aston Villa,1000000.0
210,210,2,Matty Cash,Right-Back,"Aug 7, 1997 (24)",€22.00m,Aston Villa,22000000.0
211,211,6,Douglas Luiz,Defensive Midfield,"May 9, 1998 (23)",€35.00m,Aston Villa,35000000.0
212,212,19,Marvelous Nakamba,Defensive Midfield,"Jan 19, 1994 (27)",€7.00m,Aston Villa,7000000.0
213,213,7,John McGinn,Central Midfield,"Oct 18, 1994 (27)",€30.00m,Aston Villa,30000000.0
214,214,8,Morgan Sanson,Central Midfield,"Aug 18, 1994 (27)",€16.00m,Aston Villa,16000000.0
215,215,33,Carney Chukwuemeka,Central Midfield,"Oct 20, 2003 (18)",€2.50m,Aston Villa,2500000.0
216,216,41,Jacob Ramsey,Attacking Midfield,"May 28, 2001 (20)",€8.00m,Aston Villa,8000000.0
217,217,31,Leon Bailey,Left Winger,"Aug 9, 1997 (24)",€35.00m,Aston Villa,35000000.0
218,218,17,Trezeguet,Left Winger,"Oct 1, 1994 (27)",€10.00m,Aston Villa,10000000.0
219,219,32,Jaden Philogene-Bidace,Left Winger,"Feb 8, 2002 (19)",€500Th.,Aston Villa,500000.0
220,220,10,Emiliano Buendía,Right Winger,"Dec 25, 1996 (24)",€35.00m,Aston Villa,35000000.0
221,221,15,Bertrand Traoré,Right Winger,"Sep 6, 1995 (26)",€20.00m,Aston Villa,20000000.0
222,222,21,Anwar El Ghazi,Right Winger,"May 3, 1995 (26)",€13.00m,Aston Villa,13000000.0
223,223,11,Ollie Watkins,Centre-Forward,"Dec 30, 1995 (25)",€32.00m,Aston Villa,32000000.0
224,224,20,Danny Ings,Centre-Forward,"Jul 23, 1992 (29)",€22.00m,Aston Villa,22000000.0
225,225,39,Keinan Davis,Centre-Forward,"Feb 13, 1998 (23)",€3.00m,Aston Villa,3000000.0
226,226,26,Daniel Bachmann,Goalkeeper,"Jul 9, 1994 (27)",€3.00m,Watford,3000000.0
227,227,1,Ben Foster,Goalkeeper,"Apr 3, 1983 (38)",€300Th.,Watford,300000.0
228,228,35,Rob Elliot,Goalkeeper,"Apr 30, 1986 (35)",€200Th.,Watford,200000.0
229,229,13,Nicolas N'Koulou,Centre-Back,"Mar 27, 1990 (31)",€5.00m,Watford,5000000.0
230,230,5,William Troost-Ekong,Centre-Back,"Sep 1, 1993 (28)",€4.00m,Watford,4000000.0
231,231,27,Christian Kabasele,Centre-Back,"Feb 24, 1991 (30)",€4.00m,Watford,4000000.0
232,232,15,Craig Cathcart,Centre-Back,"Feb 6, 1989 (32)",€1.50m,Watford,1500000.0
233,233,31,Francisco Sierralta,Centre-Back,"May 6, 1997 (24)",€1.50m,Watford,1500000.0
234,234,11,Adam Masina,Left-Back,"Jan 2, 1994 (27)",€4.50m,Watford,4500000.0
235,235,3,Danny Rose,Left-Back,"Jul 2, 1990 (31)",€3.00m,Watford,3000000.0
236,236,2,Jeremy Ngakia,Right-Back,"Sep 7, 2000 (21)",€4.00m,Watford,4000000.0
237,237,21,Kiko Femenía,Right-Back,"Feb 2, 1991 (30)",€3.50m,Watford,3500000.0
238,238,6,Imrân Louza,Central Midfield,"May 1, 1999 (22)",€12.00m,Watford,12000000.0
239,239,18,Ozan Tufan,Central Midfield,"Mar 23, 1995 (26)",€11.00m,Watford,11000000.0
240,240,19,Moussa Sissoko,Central Midfield,"Aug 16, 1989 (32)",€10.00m,Watford,10000000.0
241,241,4,Peter Etebo,Central Midfield,"Nov 9, 1995 (25)",€3.20m,Watford,3200000.0
242,242,8,Tom Cleverley,Central Midfield,"Aug 12, 1989 (32)",€3.00m,Watford,3000000.0
243,243,33,Juraj Kucka,Central Midfield,"Feb 26, 1987 (34)",€3.00m,Watford,3000000.0
244,244,16,Dan Gosling,Central Midfield,"Feb 1, 1990 (31)",€1.50m,Watford,1500000.0
245,245,12,Ken Sema,Left Midfield,"Sep 30, 1993 (28)",€4.50m,Watford,4500000.0
246,246,34,Kwadwo Baah,Left Winger,"Jan 27, 2003 (18)",€800Th.,Watford,800000.0
247,247,23,Ismaïla Sarr,Right Winger,"Feb 25, 1998 (23)",€27.00m,Watford,27000000.0
248,248,7,Joshua King,Second Striker,"Jan 15, 1992 (29)",€8.00m,Watford,8000000.0
249,249,10,João Pedro,Centre-Forward,"Sep 26, 2001 (20)",€10.00m,Watford,10000000.0
250,250,29,Cucho Hernández,Centre-Forward,"Apr 20, 1999 (22)",€9.00m,Watford,9000000.0
251,251,25,Emmanuel Dennis,Centre-Forward,"Nov 15, 1997 (23)",€5.00m,Watford,5000000.0
252,252,17,Ashley Fletcher,Centre-Forward,"Oct 2, 1995 (26)",€3.00m,Watford,3000000.0
253,253,27,Freddie Woodman,Goalkeeper,"Mar 4, 1997 (24)",€10.00m,Newcastle,10000000.0
254,254,1,Martin Dubravka,Goalkeeper,"Jan 15, 1989 (32)",€5.00m,Newcastle,5000000.0
255,255,26,Karl Darlow,Goalkeeper,"Oct 8, 1990 (31)",€3.00m,Newcastle,3000000.0
256,256,29,Mark Gillespie,Goalkeeper,"Mar 27, 1992 (29)",€400Th.,Newcastle,400000.0
