,Players,Costs,Total points,Positions,PPG,Team,Points per mil,Clean name
64,Eze,5.9,7,MID,1.2,CRY,1.19,eze
139,Kabasele,4.3,5,DEF,1.0,WAT,1.16,kabasele
142,Sierralta,4.3,5,DEF,1.0,WAT,1.16,sierralta
144,Nkoulou,4.4,5,DEF,1.7,WAT,1.14,nkoulou
1,Nketiah,5.4,6,FWD,1.0,ARS,1.11,nketiah
98,Summerville,4.5,5,MID,1.0,LEE,1.11,summerville
57,Saúl,4.9,5,MID,0.8,CHE,1.02,saul
75,Cresswell,4.0,4,DEF,1.0,LEE,1.00,cresswell
51,Clyne,4.3,4,DEF,1.3,CRY,0.93,clyne
84,Choudhury,4.4,4,MID,1.0,LEI,0.91,choudhury
198,Cundle,4.4,4,MID,2.0,WOL,0.91,cundle
154,Rowe,4.4,4,MID,1.0,NOR,0.91,rowe
0,Leno,4.5,4,GKP,1.3,ARS,0.89,leno
9,Hennessey,4.5,4,GKP,2.0,BUR,0.89,hennessey
68,Bertrand,4.6,4,DEF,1.0,LEI,0.87,bertrand
63,Riedewald,4.7,4,MID,1.3,CRY,0.85,riedewald
65,Justin,4.9,4,DEF,1.0,LEI,0.82,justin
172,Bentancur,5.0,4,MID,1.3,TOT,0.80,bentancur
39,Gayle,5.2,4,FWD,1.0,NEW,0.77,gayle
21,Dasilva,5.3,4,MID,1.3,BRE,0.75,dasilva
40,Stephens,4.4,3,MID,1.5,BUR,0.68,stephens
151,Fredericks,4.4,3,DEF,0.8,WHU,0.68,fredericks
79,Onyango,4.5,3,MID,1.0,EVE,0.67,onyango
164,Toti,4.5,3,DEF,1.5,WOL,0.67,toti
50,Fletcher,4.8,3,FWD,1.0,WAT,0.62,fletcher
144,Bruno Guimarães,5.0,3,MID,1.0,NEW,0.60,bruno guimaraes
125,Valery,3.9,2,DEF,2.0,SOU,0.51,valery
6,Steele,4.0,2,GKP,2.0,BHA,0.50,steele
76,Hjelde,4.0,2,DEF,1.0,LEE,0.50,hjelde
29,Caballero,4.3,2,GKP,1.0,SOU,0.47,caballero
128,McAtee,4.4,2,MID,1.0,MCI,0.45,mcatee
112,Byram,4.4,2,DEF,0.4,NOR,0.45,byram
38,Sarmiento,4.5,2,MID,1.0,BHA,0.44,sarmiento
21,Dobbin,4.5,2,FWD,0.7,EVE,0.44,dobbin
161,Smallbone,4.5,2,MID,2.0,SOU,0.44,smallbone
5,Lössl,4.5,2,GKP,1.0,BRE,0.44,lossl
99,Jones,4.5,2,DEF,2.0,MUN,0.44,jones
34,Areola,4.7,2,GKP,2.0,WHU,0.43,areola
95,Bailly,4.9,2,DEF,0.5,MUN,0.41,bailly
20,Stevens,3.9,1,DEF,1.0,BRE,0.26,stevens
156,Ashby,4.0,1,DEF,1.0,WHU,0.25,ashby
15,Begović,4.0,1,GKP,1.0,EVE,0.25,begovic
134,Rodon,4.2,1,DEF,1.0,TOT,0.24,rodon
101,McKinstry,4.3,1,MID,1.0,LEE,0.23,mckinstry
100,McCarron,4.4,1,MID,1.0,LEE,0.23,mccarron
67,Rak-Sakyi,4.4,1,MID,1.0,CRY,0.23,rak-sakyi
190,Kral,4.4,1,MID,1.0,WHU,0.23,kral
46,Ferguson,4.5,1,DEF,1.0,CRY,0.22,ferguson
7,Ferguson,4.5,1,FWD,1.0,BHA,0.22,ferguson
28,Greenwood,4.5,1,FWD,1.0,LEE,0.22,greenwood
34,Delap,4.5,1,FWD,1.0,MCI,0.22,delap
102,Bate,4.5,1,MID,1.0,LEE,0.22,bate
115,Morton,4.5,1,MID,0.5,LIV,0.22,morton
191,Perkins,4.5,1,MID,1.0,WHU,0.22,perkins
116,Gordon,4.5,1,MID,1.0,LIV,0.22,gordon
33,Kayky,5.0,1,FWD,1.0,MCI,0.20,kayky
59,Mykolenko,5.0,1,DEF,1.0,EVE,0.20,mykolenko
22,Tosun,5.0,1,FWD,1.0,EVE,0.20,tosun
199,Chiquinho,5.5,1,MID,1.0,WOL,0.18,chiquinho
196,Neto,6.4,1,MID,1.0,WOL,0.16,neto
