,No.,Player,Pos,DoB,Val,Team
95,18,Christos Tzolis,Left Winger,"Jan 30, 2002 (19)",€12.00m,Norwich
96,11,Przemyslaw Placheta,Left Winger,"Mar 23, 1998 (23)",€2.00m,Norwich
97,17,Milot Rashica,Right Winger,"Jun 28, 1996 (25)",€9.00m,Norwich
98,24,Josh Sargent,Centre-Forward,"Feb 20, 2000 (21)",€8.00m,Norwich
99,22,Teemu Pukki,Centre-Forward,"Mar 29, 1990 (31)",€7.00m,Norwich
100,35,Adam Idah,Centre-Forward,"Feb 11, 2001 (20)",€3.00m,Norwich
101,1,Nick Pope,Goalkeeper,"Apr 19, 1992 (29)",€15.00m,Burnley
102,13,Wayne Hennessey,Goalkeeper,"Jan 24, 1987 (34)",€1.00m,Burnley
103,25,Will Norris,Goalkeeper,"Aug 12, 1993 (28)",€400Th.,Burnley
104,5,James Tarkowski,Centre-Back,"Nov 19, 1992 (28)",€25.00m,Burnley
105,22,Nathan Collins,Centre-Back,"Apr 30, 2001 (20)",€8.00m,Burnley
106,6,Ben Mee,Centre-Back,"Sep 21, 1989 (32)",€6.00m,Burnley
107,28,Kevin Long,Centre-Back,"Aug 18, 1990 (31)",€1.00m,Burnley
108,3,Charlie Taylor,Left-Back,"Sep 18, 1993 (28)",€4.00m,Burnley
109,23,Erik Pieters,Left-Back,"Aug 7, 1988 (33)",€1.50m,Burnley
110,14,Connor Roberts,Right-Back,"Sep 23, 1995 (26)",€4.50m,Burnley
111,2,Matthew Lowton,Right-Back,"Jun 9, 1989 (32)",€2.50m,Burnley
112,26,Phil Bardsley,Right-Back,"Jun 28, 1985 (36)",€300Th.,Burnley
113,4,Jack Cork,Defensive Midfield,"Jun 25, 1989 (32)",€5.00m,Burnley
114,18,Ashley Westwood,Defensive Midfield,"Apr 1, 1990 (31)",€5.00m,Burnley
115,8,Josh Brownhill,Central Midfield,"Dec 19, 1995 (25)",€7.00m,Burnley
116,16,Dale Stephens,Central Midfield,"Jun 12, 1989 (32)",€2.50m,Burnley
117,11,Dwight McNeil,Left Winger,"Nov 22, 1999 (21)",€22.00m,Burnley
118,20,Maxwel Cornet,Left Winger,"Sep 27, 1996 (25)",€12.00m,Burnley
119,7,Jóhann Berg Gudmundsson,Right Winger,"Oct 27, 1990 (31)",€3.00m,Burnley
120,17,Aaron Lennon,Right Winger,"Apr 16, 1987 (34)",€1.10m,Burnley
121,9,Chris Wood,Centre-Forward,"Dec 7, 1991 (29)",€8.00m,Burnley
122,19,Jay Rodríguez,Centre-Forward,"Jul 29, 1989 (32)",€4.00m,Burnley
123,10,Ashley Barnes,Centre-Forward,"Oct 30, 1989 (32)",€3.50m,Burnley
124,27,Matej Vydra,Centre-Forward,"May 1, 1992 (29)",€3.00m,Burnley
125,22,Pierluigi Gollini,Goalkeeper,"Mar 18, 1995 (26)",€15.00m,Spurs
126,1,Hugo Lloris,Goalkeeper,"Dec 26, 1986 (34)",€9.00m,Spurs
127,4,Cristian Romero,Centre-Back,"Apr 27, 1998 (23)",€35.00m,Spurs
128,6,Davinson Sánchez,Centre-Back,"Jun 12, 1996 (25)",€32.00m,Spurs
129,15,Eric Dier,Centre-Back,"Jan 15, 1994 (27)",€22.00m,Spurs
130,25,Japhet Tanganga,Centre-Back,"Mar 31, 1999 (22)",€15.00m,Spurs
131,14,Joe Rodon,Centre-Back,"Oct 22, 1997 (24)",€10.00m,Spurs
132,3,Sergio Reguilón,Left-Back,"Dec 16, 1996 (24)",€25.00m,Spurs
133,33,Ben Davies,Left-Back,"Apr 24, 1993 (28)",€16.00m,Spurs
134,12,Emerson Royal,Right-Back,"Jan 14, 1999 (22)",€25.00m,Spurs
135,2,Matt Doherty,Right-Back,"Jan 16, 1992 (29)",€16.00m,Spurs
136,8,Harry Winks,Defensive Midfield,"Feb 2, 1996 (25)",€20.00m,Spurs
137,29,Oliver Skipp,Defensive Midfield,"Sep 16, 2000 (21)",€15.00m,Spurs
138,28,Tanguy Ndombélé,Central Midfield,"Dec 28, 1996 (24)",€45.00m,Spurs
139,5,Pierre-Emile Höjbjerg,Central Midfield,"Aug 5, 1995 (26)",€40.00m,Spurs
140,18,Giovani Lo Celso,Central Midfield,"Apr 9, 1996 (25)",€22.00m,Spurs
141,19,Ryan Sessegnon,Left Midfield,"May 18, 2000 (21)",€18.00m,Spurs
142,20,Dele Alli,Attacking Midfield,"Apr 11, 1996 (25)",€30.00m,Spurs
143,7,Heung-min Son,Left Winger,"Jul 8, 1992 (29)",€85.00m,Spurs
144,11,Bryan Gil,Left Winger,"Feb 11, 2001 (20)",€30.00m,Spurs
145,23,Steven Bergwijn,Left Winger,"Oct 8, 1997 (24)",€22.00m,Spurs
146,27,Lucas Moura,Right Winger,"Aug 13, 1992 (29)",€25.00m,Spurs
147,47,Jack Clarke,Right Winger,"Nov 23, 2000 (20)",€5.00m,Spurs
148,10,Harry Kane,Centre-Forward,"Jul 28, 1993 (28)",€120.00m,Spurs
149,1,Robert Sánchez,Goalkeeper,"Nov 18, 1997 (23)",€11.00m,Brighton
150,16,Kjell Scherpen,Goalkeeper,"Jan 23, 2000 (21)",€2.80m,Brighton
151,23,Jason Steele,Goalkeeper,"Aug 18, 1990 (31)",€800Th.,Brighton
152,5,Lewis Dunk,Centre-Back,"Nov 21, 1991 (29)",€25.00m,Brighton
153,4,Adam Webster,Centre-Back,"Jan 4, 1995 (26)",€18.00m,Brighton
154,24,Shane Duffy,Centre-Back,"Jan 1, 1992 (29)",€5.00m,Brighton
155,33,Dan Burn,Centre-Back,"May 9, 1992 (29)",€5.00m,Brighton
156,28,Haydon Roberts,Centre-Back,"May 10, 2002 (19)",€500Th.,Brighton
157,2,Tariq Lamptey,Right-Back,"Sep 30, 2000 (21)",€18.00m,Brighton
158,34,Joël Veltman,Right-Back,"Jan 15, 1992 (29)",€6.00m,Brighton
159,35,Tudor Baluta,Defensive Midfield,"Mar 27, 1999 (22)",€2.00m,Brighton
160,8,Yves Bissouma,Central Midfield,"Aug 30, 1996 (25)",€25.00m,Brighton
161,12,Enock Mwepu,Central Midfield,"Jan 1, 1998 (23)",€20.00m,Brighton
162,15,Jakub Moder,Central Midfield,"Apr 7, 1999 (22)",€10.00m,Brighton
163,13,Pascal Groß,Central Midfield,"Jun 15, 1991 (30)",€7.00m,Brighton
164,17,Steven Alzate,Central Midfield,"Sep 8, 1998 (23)",€6.00m,Brighton
165,3,Marc Cucurella,Left Midfield,"Jul 22, 1998 (23)",€20.00m,Brighton
166,20,Solly March,Left Midfield,"Jul 20, 1994 (27)",€9.00m,Brighton
167,10,Alexis Mac Allister,Attacking Midfield,"Dec 24, 1998 (22)",€10.00m,Brighton
168,14,Adam Lallana,Attacking Midfield,"May 10, 1988 (33)",€4.00m,Brighton
169,30,Taylor Richards,Attacking Midfield,"Dec 4, 2000 (20)",€400Th.,Brighton
170,11,Leandro Trossard,Left Winger,"Dec 4, 1994 (26)",€17.00m,Brighton
171,9,Neal Maupay,Centre-Forward,"Aug 14, 1996 (25)",€20.00m,Brighton
172,7,Aaron Connolly,Centre-Forward,"Jan 28, 2000 (21)",€7.00m,Brighton
173,18,Danny Welbeck,Centre-Forward,"Nov 26, 1990 (30)",€4.00m,Brighton
174,27,Jürgen Locadia,Centre-Forward,"Nov 7, 1993 (27)",€3.50m,Brighton
175,1,Jack Butland,Goalkeeper,"Mar 10, 1993 (28)",€2.00m,Crystal Palace
176,13,Vicente Guaita,Goalkeeper,"Jan 10, 1987 (34)",€2.00m,Crystal Palace
177,19,Remi Matthews,Goalkeeper,"Feb 10, 1994 (27)",€300Th.,Crystal Palace
178,16,Joachim Andersen,Centre-Back,"May 31, 1996 (25)",€22.00m,Crystal Palace
179,6,Marc Guehi,Centre-Back,"Jul 13, 2000 (21)",€20.00m,Crystal Palace
180,36,Nathan Ferguson,Centre-Back,"Oct 6, 2000 (21)",€4.00m,Crystal Palace
181,5,James Tomkins,Centre-Back,"Mar 29, 1989 (32)",€2.50m,Crystal Palace
182,33,Jaroslaw Jach,Centre-Back,"Feb 17, 1994 (27)",€650Th.,Crystal Palace
183,3,Tyrick Mitchell,Left-Back,"Sep 1, 1999 (22)",€12.00m,Crystal Palace
184,17,Nathaniel Clyne,Right-Back,"Apr 5, 1991 (30)",€3.00m,Crystal Palace
185,2,Joel Ward,Right-Back,"Oct 29, 1989 (32)",€2.50m,Crystal Palace
186,34,Martin Kelly,Right-Back,"Apr 27, 1990 (31)",€1.50m,Crystal Palace
187,4,Luka Milivojevic,Defensive Midfield,"Apr 7, 1991 (30)",€8.00m,Crystal Palace
188,44,Jairo Riedewald,Defensive Midfield,"Sep 9, 1996 (25)",€8.00m,Crystal Palace
189,8,Cheikhou Kouyaté,Defensive Midfield,"Dec 21, 1989 (31)",€6.00m,Crystal Palace
190,23,Conor Gallagher,Central Midfield,"Feb 6, 2000 (21)",€15.00m,Crystal Palace
191,12,Will Hughes,Central Midfield,"Apr 17, 1995 (26)",€7.00m,Crystal Palace
192,18,James McArthur,Central Midfield,"Oct 7, 1987 (34)",€2.00m,Crystal Palace
193,15,Jeffrey Schlupp,Left Midfield,"Dec 23, 1992 (28)",€9.00m,Crystal Palace
194,10,Eberechi Eze,Attacking Midfield,"Jun 29, 1998 (23)",€20.00m,Crystal Palace
195,7,Michael Olise,Attacking Midfield,"Dec 12, 2001 (19)",€15.00m,Crystal Palace
196,11,Wilfried Zaha,Left Winger,"Nov 10, 1992 (28)",€45.00m,Crystal Palace
197,22,Odsonne Edouard,Centre-Forward,"Jan 16, 1998 (23)",€17.00m,Crystal Palace
198,20,Christian Benteke,Centre-Forward,"Dec 3, 1990 (30)",€9.00m,Crystal Palace
199,9,Jordan Ayew,Centre-Forward,"Sep 11, 1991 (30)",€8.00m,Crystal Palace
200,14,Jean-Philippe Mateta,Centre-Forward,"Jun 28, 1997 (24)",€8.00m,Crystal Palace
201,1,Emiliano Martínez,Goalkeeper,"Sep 2, 1992 (29)",€35.00m,Aston Villa
202,12,Jed Steer,Goalkeeper,"Sep 23, 1992 (29)",€800Th.,Aston Villa
203,38,Viljami Sinisalo,Goalkeeper,"Oct 11, 2001 (20)",€200Th.,Aston Villa
204,5,Tyrone Mings,Centre-Back,"Mar 13, 1993 (28)",€30.00m,Aston Villa
205,4,Ezri Konsa,Centre-Back,"Oct 23, 1997 (24)",€25.00m,Aston Villa
206,16,Axel Tuanzebe,Centre-Back,"Nov 14, 1997 (23)",€8.00m,Aston Villa
207,30,Kortney Hause,Centre-Back,"Jul 16, 1995 (26)",€5.00m,Aston Villa
208,3,Matt Targett,Left-Back,"Sep 18, 1995 (26)",€17.00m,Aston Villa
209,18,Ashley Young,Left-Back,"Jul 9, 1985 (36)",€1.00m,Aston Villa
210,2,Matty Cash,Right-Back,"Aug 7, 1997 (24)",€22.00m,Aston Villa
211,6,Douglas Luiz,Defensive Midfield,"May 9, 1998 (23)",€35.00m,Aston Villa
212,19,Marvelous Nakamba,Defensive Midfield,"Jan 19, 1994 (27)",€7.00m,Aston Villa
213,7,John McGinn,Central Midfield,"Oct 18, 1994 (27)",€30.00m,Aston Villa
214,8,Morgan Sanson,Central Midfield,"Aug 18, 1994 (27)",€16.00m,Aston Villa
215,33,Carney Chukwuemeka,Central Midfield,"Oct 20, 2003 (18)",€2.50m,Aston Villa
216,41,Jacob Ramsey,Attacking Midfield,"May 28, 2001 (20)",€8.00m,Aston Villa
217,31,Leon Bailey,Left Winger,"Aug 9, 1997 (24)",€35.00m,Aston Villa
218,17,Trezeguet,Left Winger,"Oct 1, 1994 (27)",€10.00m,Aston Villa
219,32,Jaden Philogene-Bidace,Left Winger,"Feb 8, 2002 (19)",€500Th.,Aston Villa
220,10,Emiliano Buendía,Right Winger,"Dec 25, 1996 (24)",€35.00m,Aston Villa
221,15,Bertrand Traoré,Right Winger,"Sep 6, 1995 (26)",€20.00m,Aston Villa
222,21,Anwar El Ghazi,Right Winger,"May 3, 1995 (26)",€13.00m,Aston Villa
223,11,Ollie Watkins,Centre-Forward,"Dec 30, 1995 (25)",€32.00m,Aston Villa
224,20,Danny Ings,Centre-Forward,"Jul 23, 1992 (29)",€22.00m,Aston Villa
225,39,Keinan Davis,Centre-Forward,"Feb 13, 1998 (23)",€3.00m,Aston Villa
226,26,Daniel Bachmann,Goalkeeper,"Jul 9, 1994 (27)",€3.00m,Watford
227,1,Ben Foster,Goalkeeper,"Apr 3, 1983 (38)",€300Th.,Watford
228,35,Rob Elliot,Goalkeeper,"Apr 30, 1986 (35)",€200Th.,Watford
229,13,Nicolas N'Koulou,Centre-Back,"Mar 27, 1990 (31)",€5.00m,Watford
230,5,William Troost-Ekong,Centre-Back,"Sep 1, 1993 (28)",€4.00m,Watford
231,27,Christian Kabasele,Centre-Back,"Feb 24, 1991 (30)",€4.00m,Watford
232,15,Craig Cathcart,Centre-Back,"Feb 6, 1989 (32)",€1.50m,Watford
233,31,Francisco Sierralta,Centre-Back,"May 6, 1997 (24)",€1.50m,Watford
234,11,Adam Masina,Left-Back,"Jan 2, 1994 (27)",€4.50m,Watford
235,3,Danny Rose,Left-Back,"Jul 2, 1990 (31)",€3.00m,Watford
236,2,Jeremy Ngakia,Right-Back,"Sep 7, 2000 (21)",€4.00m,Watford
237,21,Kiko Femenía,Right-Back,"Feb 2, 1991 (30)",€3.50m,Watford
238,6,Imrân Louza,Central Midfield,"May 1, 1999 (22)",€12.00m,Watford
239,18,Ozan Tufan,Central Midfield,"Mar 23, 1995 (26)",€11.00m,Watford
240,19,Moussa Sissoko,Central Midfield,"Aug 16, 1989 (32)",€10.00m,Watford
241,4,Peter Etebo,Central Midfield,"Nov 9, 1995 (25)",€3.20m,Watford
242,8,Tom Cleverley,Central Midfield,"Aug 12, 1989 (32)",€3.00m,Watford
243,33,Juraj Kucka,Central Midfield,"Feb 26, 1987 (34)",€3.00m,Watford
244,16,Dan Gosling,Central Midfield,"Feb 1, 1990 (31)",€1.50m,Watford
245,12,Ken Sema,Left Midfield,"Sep 30, 1993 (28)",€4.50m,Watford
246,34,Kwadwo Baah,Left Winger,"Jan 27, 2003 (18)",€800Th.,Watford
247,23,Ismaïla Sarr,Right Winger,"Feb 25, 1998 (23)",€27.00m,Watford
248,7,Joshua King,Second Striker,"Jan 15, 1992 (29)",€8.00m,Watford
249,10,João Pedro,Centre-Forward,"Sep 26, 2001 (20)",€10.00m,Watford
250,29,Cucho Hernández,Centre-Forward,"Apr 20, 1999 (22)",€9.00m,Watford
251,25,Emmanuel Dennis,Centre-Forward,"Nov 15, 1997 (23)",€5.00m,Watford
252,17,Ashley Fletcher,Centre-Forward,"Oct 2, 1995 (26)",€3.00m,Watford
253,27,Freddie Woodman,Goalkeeper,"Mar 4, 1997 (24)",€10.00m,Newcastle
254,1,Martin Dubravka,Goalkeeper,"Jan 15, 1989 (32)",€5.00m,Newcastle
255,26,Karl Darlow,Goalkeeper,"Oct 8, 1990 (31)",€3.00m,Newcastle
256,29,Mark Gillespie,Goalkeeper,"Mar 27, 1992 (29)",€400Th.,Newcastle
257,6,Jamaal Lascelles,Centre-Back,"Nov 11, 1993 (27)",€13.00m,Newcastle
258,5,Fabian Schär,Centre-Back,"Dec 20, 1991 (29)",€9.00m,Newcastle
259,2,Ciaran Clark,Centre-Back,"Sep 26, 1989 (32)",€3.00m,Newcastle
260,18,Federico Fernández,Centre-Back,"Feb 21, 1989 (32)",€3.00m,Newcastle
261,12,Jamal Lewis,Left-Back,"Jan 25, 1998 (23)",€12.00m,Newcastle
262,3,Paul Dummett,Left-Back,"Sep 26, 1991 (30)",€3.00m,Newcastle
263,11,Matt Ritchie,Left-Back,"Sep 10, 1989 (32)",€3.00m,Newcastle
264,17,Emil Krafth,Right-Back,"Aug 2, 1994 (27)",€3.50m,Newcastle
265,19,Javier Manquillo,Right-Back,"May 5, 1994 (27)",€3.00m,Newcastle
266,14,Isaac Hayden,Defensive Midfield,"Mar 22, 1995 (26)",€10.00m,Newcastle
267,28,Joe Willock,Central Midfield,"Aug 20, 1999 (22)",€22.00m,Newcastle
268,36,Sean Longstaff,Central Midfield,"Oct 30, 1997 (24)",€15.00m,Newcastle
269,8,Jonjo Shelvey,Central Midfield,"Feb 27, 1992 (29)",€13.00m,Newcastle
270,16,Jeff Hendrick,Central Midfield,"Jan 31, 1992 (29)",€9.00m,Newcastle
271,24,Miguel Almirón,Attacking Midfield,"Feb 10, 1994 (27)",€17.50m,Newcastle
272,10,Allan Saint-Maximin,Left Winger,"Mar 12, 1997 (24)",€30.00m,Newcastle
273,21,Ryan Fraser,Left Winger,"Feb 24, 1994 (27)",€10.00m,Newcastle
274,23,Jacob Murphy,Right Winger,"Feb 24, 1995 (26)",€5.00m,Newcastle
275,9,Callum Wilson,Centre-Forward,"Feb 27, 1992 (29)",€22.00m,Newcastle
276,7,Joelinton,Centre-Forward,"Aug 14, 1996 (25)",€17.00m,Newcastle
277,34,Dwight Gayle,Centre-Forward,"Oct 17, 1989 (32)",€4.00m,Newcastle
278,1,Jordan Pickford,Goalkeeper,"Mar 7, 1994 (27)",€25.00m,Everton
279,15,Asmir Begovic,Goalkeeper,"Jun 20, 1987 (34)",€1.20m,Everton
280,31,Andy Lonergan,Goalkeeper,"Oct 19, 1983 (38)",€250Th.,Everton
281,5,Michael Keane,Centre-Back,"Jan 11, 1993 (28)",€25.00m,Everton
282,22,Ben Godfrey,Centre-Back,"Jan 15, 1998 (23)",€25.00m,Everton
283,4,Mason Holgate,Centre-Back,"Oct 22, 1996 (25)",€20.00m,Everton
284,13,Yerry Mina,Centre-Back,"Sep 23, 1994 (27)",€20.00m,Everton
285,32,Jarrad Branthwaite,Centre-Back,"Jun 27, 2002 (19)",€3.00m,Everton
286,12,Lucas Digne,Left-Back,"Jul 20, 1993 (28)",€35.00m,Everton
287,2,Jonjoe Kenny,Right-Back,"Mar 15, 1997 (24)",€5.80m,Everton
288,23,Seamus Coleman,Right-Back,"Oct 11, 1988 (33)",€5.00m,Everton
289,25,Jean-Philippe Gbamin,Defensive Midfield,"Sep 25, 1995 (26)",€15.00m,Everton
290,16,Abdoulaye Doucouré,Central Midfield,"Jan 1, 1993 (28)",€25.00m,Everton
291,6,Allan,Central Midfield,"Jan 8, 1991 (30)",€22.00m,Everton
292,21,André Gomes,Central Midfield,"Jul 30, 1993 (28)",€20.00m,Everton
293,26,Tom Davies,Central Midfield,"Jun 30, 1998 (23)",€18.00m,Everton
294,8,Fabian Delph,Central Midfield,"Nov 21, 1989 (31)",€3.50m,Everton
295,10,Gylfi Sigurdsson,Attacking Midfield,"Sep 8, 1989 (32)",€3.00m,Everton
296,17,Alex Iwobi,Left Winger,"May 3, 1996 (25)",€22.00m,Everton
297,11,Demarai Gray,Left Winger,"Jun 28, 1996 (25)",€15.00m,Everton
298,24,Anthony Gordon,Left Winger,"Feb 24, 2001 (20)",€5.00m,Everton
299,14,Andros Townsend,Right Winger,"Jul 16, 1991 (30)",€7.00m,Everton
300,7,Richarlison,Centre-Forward,"May 10, 1997 (24)",€55.00m,Everton
301,9,Dominic Calvert-Lewin,Centre-Forward,"Mar 16, 1997 (24)",€45.00m,Everton
